timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2025/05/31 21:23:28.518, 17 %, 3 %, [N/A], 0
2025/05/31 21:23:34.080, 26 %, 3 %, [N/A], 0
2025/05/31 21:23:40.034, 17 %, 2 %, [N/A], 0
2025/05/31 21:23:45.500, 13 %, 2 %, [N/A], 0
2025/05/31 21:23:50.530, 29 %, 3 %, [N/A], 0
2025/05/31 21:23:55.587, 26 %, 2 %, [N/A], 0
2025/05/31 21:24:00.772, 25 %, 3 %, [N/A], 0
2025/05/31 21:24:05.808, 14 %, 2 %, [N/A], 0
2025/05/31 21:24:10.820, 13 %, 2 %, [N/A], 0
2025/05/31 21:24:15.834, 14 %, 3 %, [N/A], 0
2025/05/31 21:24:20.839, 25 %, 2 %, [N/A], 0
2025/05/31 21:24:25.898, 24 %, 2 %, [N/A], 0
2025/05/31 21:24:31.372, 14 %, 3 %, [N/A], 0
2025/05/31 21:24:36.378, 16 %, 3 %, [N/A], 0
2025/05/31 21:24:41.483, 14 %, 2 %, [N/A], 0
2025/05/31 21:24:46.622, 16 %, 3 %, [N/A], 0
2025/05/31 21:24:51.704, 13 %, 2 %, [N/A], 0
2025/05/31 21:24:56.785, 23 %, 3 %, [N/A], 0
2025/05/31 21:25:02.184, 17 %, 3 %, [N/A], 0
2025/05/31 21:25:07.279, 17 %, 3 %, [N/A], 0
2025/05/31 21:25:13.062, 19 %, 4 %, [N/A], 0
2025/05/31 21:25:18.346, 19 %, 4 %, [N/A], 0
2025/05/31 21:25:23.698, 19 %, 4 %, [N/A], 0
2025/05/31 21:25:29.098, 20 %, 4 %, [N/A], 0
2025/05/31 21:25:34.799, 15 %, 4 %, [N/A], 0
2025/05/31 21:25:40.099, 21 %, 4 %, [N/A], 0
2025/05/31 21:25:45.666, 17 %, 3 %, [N/A], 0
2025/05/31 21:25:50.973, 17 %, 3 %, [N/A], 0
2025/05/31 21:25:56.005, 18 %, 4 %, [N/A], 0
2025/05/31 21:26:01.295, 16 %, 3 %, [N/A], 0
2025/05/31 21:26:06.832, 17 %, 4 %, [N/A], 0
2025/05/31 21:26:12.103, 14 %, 1 %, [N/A], 0
2025/05/31 21:26:17.312, 28 %, 19 %, [N/A], 0
2025/05/31 21:26:22.660, 5 %, 0 %, [N/A], 0
